Question,Script_Name,SRN_1,SRN_2,PassedTests,TotalTests,Score
QA2,QA2_P3_P4.py.py,P3,P4.py,3,3,5.00
QA3,QA3_P5_P6.py,P5,P6,4,4,5.00
QA4,QA4_P7_P8.py,P7,P8,5,5,5.00
QF1,QF1_P9_P10.py,P9,P10,3,3,5.00
QF2,QF2_P11_P12.py,P11,P12,4,4,5.00
QF3,QF3_P13_P14.py,P13,P14,5,5,5.00
QA5,QA5_P9_P10.py,P9,P10,3,3,5.00
QA6,QA6_P11_P12.py,P11,P12,0,3,0.00
QA7,QA7_P13_P14.py,P13,P14,0,3,0.00
QA8,QA8_P15_P16.py,P15,P16,0,3,0.00
QF4,QF4_P15_P16.py,P15,P16,3,3,5.00
QF5,QF5_P17_P18.py,P17,P18,3,3,5.00
QF6,QF6_P19_P20.py,P19,P20,0,3,0.00
QA1,QA1_P1_P2.py,P1,P2,3,3,5.00
